930830	1000.00	1000.00
931202	1076.66	1957.14	SIGM	AMH	LSI	CAVR	SHRP	LTD	BROD	VTSS	WDC	XICO
931203	1079.53	1940.49	AALR	AMH	LSI	LTD	CN	DMIC	NT	WMT	MA	VLSI
931206	1078.62	1971.14	ATC	AALR	MEGT	NCDI	CAVR	LSI	TAN	GEN	LEAF	DSL
931208	1078.25	1973.14	ATC	AALR	VTSS	WWTK	ADPT	KMAG	DMIC	LA	NOVL	ASPX
931209	1071.95	1936.51	ATC	AALR	VTSS	LEAF	XICO	ADPT	ABX	ASTA	DGN	LADF
931210	1069.23	1938.79	ATC	SIGM	ASPX	LADF	NN	ADPT	DGN	ABX	AZA	REC
931213	1072.31	1926.71	ATC	DRXR	SIGM	MLT	LADF	IFMX	HOGN	FRAM	DGN	SHRP
931214	1062.57	1861.32	SHRP	ATC	DRXR	SIGM	MLT	LADF	IFMX	HOGN	FRAM	SCIS
931215	1062.74	1871.23	SHRP	ATC	VLSI	MLT	LADF	HOGN	ELXS	CHPS	INAI	DGN
931216	1068.11	1881.87	SHRP	VLSI	MLT	HOGN	CHPS	DGN	BS	ADBE	MNTR	SYBS
931217	1075.25	1951.64	VLSI	HOGN	ADBE	CAVR	RN	MU	XICO	VTSS	IDTI	UAL
931220	1074.08	1946.84	VLSI	SHRP	ADBE	NN	RN	ASA	LCE	ELXS	AMH	DRXR
931221	1067.68	1907.96	INAI	AMH	CAVR	ELXS	ADBE	ECO	ADPT	ASA	DEC	USS
931222	1072.70	1949.05	ECO	USS	LA	INAI	ASA	CN	VTSS	DMIC	DEC	NT
931223	1079.80	1984.97	MEGT	ECO	NAV	MENT	LA	ROUS	NOVL	CPQ	DEC	SHRP
931224	1079.80	1984.97	CN	MEGT	LEAF	CAVR	CNX	DRXR	ECO	NAV	TWMC	MENT
931229	1079.80	1984.97	CN	DRXR	AALR	MEGT	LEAF	CNX	ECO	NOVL	NELL	NAV
931230	1079.80	1984.97	CN	DRXR	AALR	BROD	MEGT	LEAF	CNX	TWN	ECO	NOVL
931231	1079.80	1984.97	CN	DRXR	AALR	BROD	MEGT	LEAF	AMH	MU	IFMX	CNX
940103	1079.70	1984.97	CN	DRXR	AALR	BROD	VLSI	MEGT	SIGM	LEAF	AMH	WDC
940104	1097.73	2198.38	BROD	WDC	MU	CNX	TSNG	JCBS	CAVR	HSN	ELY	ROC
940105	1105.37	2244.03	MCOM	CVN	NETM	COKE	BERT	AALR	CNX	TSNG	JCBS	ELY
940106	1107.94	2226.76	BTRE	GTR	CAVR	MCOM	CVN	KOPN	COKE	CNX	TSNG	BERT
940107	1109.06	2230.71	KPCI	BTRE	GTR	DMIC	ELXS	CNX	TSNG	MADGF	COKE	ASTA
940110	1122.08	2267.13	KPCI	ZCAD	BTRE	GTR	KLAC	QCOM	AMA	CAVR	AMER	DSL
