1990-08-09	BNI	31.25
1990-08-09	IBM	103.25
1990-08-10	BNI	30.37
1990-08-10	IBM	102
1990-08-13	BNI	30.5
1990-08-13	IBM	103.75
1990-08-14	BNI	31.25
1990-08-14	IBM	104.37
1990-08-15	BNI	31.5
1990-08-15	IBM	105
1990-08-16	BNI	30.75
1990-08-16	IBM	103.75
1990-08-17	BNI	29.37
1990-08-17	IBM	101.37
1990-08-20	BNI	29.12
1990-08-20	IBM	102.25
1990-08-21	BNI	28.75
1990-08-21	IBM	100.5
1990-08-22	BNI	28.25
1990-08-22	IBM	99
1990-08-23	BNI	27
1990-08-23	IBM	96.87
1990-08-24	BNI	27.5
1990-08-24	IBM	100.37
1990-08-27	BNI	28.75
1990-08-27	IBM	104.37
1990-08-28	BNI	29.37
1990-08-28	IBM	103.62
1990-08-29	BNI	29.62
1990-08-29	IBM	103.87
1990-08-30	BNI	29.37
1990-08-30	IBM	101.75
1990-08-31	BNI	29.87
1990-08-31	IBM	101.87
1990-09-04	BNI	29.62
1990-09-04	IBM	102.5
1990-09-05	BNI	29.12
1990-09-05	IBM	102.5
1990-09-06	BNI	29.37
1990-09-06	IBM	102.37
1990-09-07	BNI	29
1990-09-07	IBM	105.5
1990-09-10	BNI	28.75
1990-09-10	IBM	105.87
1990-09-11	BNI	28.75
1990-09-11	IBM	107.5
1990-09-12	BNI	28.75
1990-09-12	IBM	107.87
1990-09-13	BNI	27.75
1990-09-13	IBM	105
1990-09-14	BNI	27.62
1990-09-14	IBM	104.37
1990-09-17	BNI	27.75
1990-09-17	IBM	105.12
1990-09-18	BNI	29.37
1990-09-18	IBM	107.25
1990-09-19	BNI	29.25
1990-09-19	IBM	108.37
1990-09-20	BNI	28.87
1990-09-20	IBM	107.87
1990-09-21	BNI	28.87
1990-09-21	IBM	106.75
1990-09-24	BNI	28
1990-09-24	IBM	105
1990-09-25	BNI	28.37
1990-09-25	IBM	106.37
1990-09-26	BNI	28
1990-09-26	IBM	105.37
1990-09-27	BNI	28
1990-09-27	IBM	104.37
1990-09-28	BNI	28
1990-09-28	IBM	106.37
1990-10-01	BNI	28.5
1990-10-01	IBM	109
1990-10-02	BNI	28.75
1990-10-02	IBM	108.25
1990-10-03	BNI	27.62
1990-10-03	IBM	107.37
1990-10-04	BNI	27.12
1990-10-04	IBM	107.87
1990-10-05	BNI	27
1990-10-05	IBM	108.25
1990-10-08	BNI	27.62
1990-10-08	IBM	109.5
1990-10-09	BNI	27.25
1990-10-09	IBM	105.37
1990-10-10	BNI	27.12
1990-10-10	IBM	103.5
1990-10-11	BNI	26.37
1990-10-11	IBM	101
1990-10-12	BNI	26
1990-10-12	IBM	100.25
1990-10-15	BNI	26
1990-10-15	IBM	99.25
1990-10-16	BNI	25.5
1990-10-16	IBM	99.37
1990-10-17	BNI	25.37
1990-10-17	IBM	100.75
1990-10-18	BNI	26.62
1990-10-18	IBM	105.37
1990-10-19	BNI	25.5
1990-10-19	IBM	107.62
1990-10-22	BNI	25.25
1990-10-22	IBM	107.75
1990-10-23	BNI	25.12
1990-10-23	IBM	106.75
1990-10-24	BNI	24.87
1990-10-24	IBM	108.62
1990-10-25	BNI	24.87
1990-10-25	IBM	108.12
1990-10-26	BNI	24.25
1990-10-26	IBM	106.87
1990-10-29	BNI	23.75
1990-10-29	IBM	106
1990-10-30	BNI	22.62
1990-10-30	IBM	106.37
1990-10-31	BNI	23.62
1990-10-31	IBM	105.5
1990-11-01	BNI	24
1990-11-01	IBM	107.25
1990-11-02	BNI	25.25
1990-11-02	IBM	108.37
1990-11-05	BNI	24.87
1990-11-05	IBM	107.87
1990-11-06	BNI	24.5
1990-11-06	IBM	107.87
1990-11-07	BNI	24.5
1990-11-07	IBM	106.5
1990-11-08	BNI	24.25
1990-11-08	IBM	107.5
1990-11-09	BNI	24.37
1990-11-09	IBM	110.25
1990-11-12	BNI	26.37
1990-11-12	IBM	113
1990-11-13	BNI	26.37
1990-11-13	IBM	112
1990-11-14	BNI	27.12
1990-11-14	IBM	113.5
1990-11-15	BNI	26.37
1990-11-15	IBM	112.62
1990-11-16	BNI	26.25
1990-11-16	IBM	113.62
1990-11-19	BNI	27.12
1990-11-19	IBM	114.75
1990-11-20	BNI	26.25
1990-11-20	IBM	113.37
1990-11-21	BNI	27.12
1990-11-21	IBM	114.12
1990-11-23	BNI	26.37
1990-11-23	IBM	112.62
1990-11-26	BNI	26.5
1990-11-26	IBM	113.87
1990-11-27	BNI	26.5
1990-11-27	IBM	113.5
1990-11-28	BNI	26.37
1990-11-28	IBM	112.37
1990-11-29	BNI	25.37
1990-11-29	IBM	112
1990-11-30	BNI	26.37
1990-11-30	IBM	113.62
1990-12-03	BNI	27.12
1990-12-03	IBM	113.37
1990-12-04	BNI	27.5
1990-12-04	IBM	114.75
1990-12-05	BNI	29.25
1990-12-05	IBM	114.62
1990-12-06	BNI	28.75
1990-12-06	IBM	111.5
1990-12-07	BNI	28.87
1990-12-07	IBM	112.5
1990-12-10	BNI	28.62
1990-12-10	IBM	113.37
1990-12-11	BNI	28.62
1990-12-11	IBM	112.87
1990-12-12	BNI	28.75
1990-12-12	IBM	114.37
1990-12-13	BNI	29
1990-12-13	IBM	112.87
1990-12-14	BNI	28.75
1990-12-14	IBM	111.25
1990-12-17	BNI	28
1990-12-17	IBM	111.5
1990-12-18	BNI	28.75
1990-12-18	IBM	113.5
1990-12-19	BNI	29
1990-12-19	IBM	112.75
1990-12-20	BNI	29.37
1990-12-20	IBM	113.75
1990-12-21	BNI	29.87
1990-12-21	IBM	113.87
1990-12-24	BNI	29.25
1990-12-24	IBM	113.87
1990-12-26	BNI	29
1990-12-26	IBM	113.5
1990-12-27	BNI	28.75
1990-12-27	IBM	113.62
1990-12-28	BNI	28.37
1990-12-28	IBM	113.37
1990-12-31	BNI	28.75
1990-12-31	IBM	113
1991-01-02	BNI	28.87
1991-01-02	IBM	112.12
1991-01-03	BNI	28.62
1991-01-03	IBM	112.5
1991-01-04	BNI	28.87
1991-01-04	IBM	112.12
1991-01-07	BNI	28.75
1991-01-07	IBM	110.25
1991-01-08	BNI	28
1991-01-08	IBM	109
1991-01-09	BNI	28.25
1991-01-09	IBM	106.87
1991-01-10	BNI	28.12
1991-01-10	IBM	108.37
1991-01-11	BNI	28.5
1991-01-11	IBM	108.12
1991-01-14	BNI	29
1991-01-14	IBM	106.75
1991-01-15	BNI	29.5
1991-01-15	IBM	107.5
1991-01-16	BNI	30.25
1991-01-16	IBM	109.12
1991-01-17	BNI	31.75
1991-01-17	IBM	115.75
1991-01-18	BNI	31.25
1991-01-18	IBM	117.62
1991-01-21	BNI	29.62
1991-01-21	IBM	119.62
1991-01-22	BNI	28
1991-01-22	IBM	118
1991-01-23	BNI	27.62
1991-01-23	IBM	119.25
1991-01-24	BNI	28.75
1991-01-24	IBM	121
1991-01-25	BNI	28.87
