930830	1000.00	1000.00
931202	1076.66	1255.94	CAVR	SIGM	XICO	DMIC	GEN	WDC	ELXS	FRAM	CNX	AMH
931203	1079.53	1274.50	CAVR	SIGM	XICO	DMIC	GEN	ELXS	WDC	FRAM	THDO	CNX
931206	1078.62	1279.49	CAVR	XICO	SIGM	DMIC	GEN	ELXS	WDC	FRAM	THDO	AMH
931208	1078.25	1302.39	CAVR	XICO	SIGM	DMIC	GEN	ELXS	WDC	AMH	FRAM	CNX
931209	1071.95	1302.04	CAVR	XICO	SIGM	DMIC	GEN	ELXS	WDC	AMH	THDO	FRAM
931210	1069.23	1306.52	CAVR	XICO	SIGM	DMIC	GEN	ELXS	AMH	WDC	THDO	FRAM
931213	1072.31	1288.54	CAVR	XICO	SIGM	DMIC	GEN	ELXS	WDC	AMH	FRAM	CNX
931214	1062.57	1269.77	CAVR	XICO	SIGM	DMIC	GEN	AMH	WDC	ELXS	FRAM	CNX
931215	1062.74	1289.16	CAVR	XICO	SIGM	DMIC	GEN	AMH	WDC	ELXS	FRAM	CNX
931216	1068.11	1333.68	CAVR	XICO	SIGM	DMIC	GEN	AMH	ELXS	WDC	CNX	FRAM
931217	1075.25	1315.61	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	CNX	FRAM
931220	1074.08	1325.77	CAVR	XICO	SIGM	DMIC	GEN	AMH	ELXS	WDC	FRAM	CNX
931221	1067.68	1313.84	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	FRAM	CNX
931222	1072.70	1327.80	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
931223	1079.80	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
931224	1079.80	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
931229	1079.80	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
931230	1079.80	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
931231	1079.80	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
940103	1079.70	1327.18	CAVR	XICO	SIGM	GEN	DMIC	AMH	ELXS	WDC	TWN	FRAM
940104	1097.73	1356.98	CAVR	XICO	SIGM	GEN	AMH	DMIC	ROC	WDC	ELXS	TWN
940105	1105.37	1390.17	CAVR	XICO	SIGM	GEN	AMH	DMIC	WDC	ELXS	TWN	FRAM
940106	1107.94	1385.21	CAVR	XICO	SIGM	GEN	DMIC	AMH	WDC	ELXS	TWN	FRAM
940107	1109.06	1385.21	CAVR	XICO	SIGM	GEN	AMH	DMIC	WDC	ELXS	TWN	FRAM
940110	1122.08	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	ELXS	FRAM	TWN
940111	1120.34	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	ELXS	VLSI	FRAM
940112	1121.02	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	FRAM
940113	1120.06	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	FRAM
940114	1121.90	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	FRAM
940117	1122.07	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	FRAM
940118	1121.64	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	FRAM
940119	1121.18	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	CSIM
940120	1122.09	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	CSIM
940121	1121.19	1450.33	CAVR	XICO	SIGM	GEN	WDC	AMH	DMIC	VLSI	ELXS	CSIM
940124	1127.26	1565.74	CAVR	XICO	SIGM	GEN	WDC	DMIC	AMH	TDM	ELXS	LCE
940125	1119.05	1490.25	CAVR	XICO	SIGM	GEN	WDC	DMIC	AMH	LCE	KLAC	TDM
940126	1126.18	1537.12	XICO	CAVR	SIGM	GEN	WDC	DMIC	AMH	LCE	TDM	ELXS
940127	1131.28	1499.76	XICO	CAVR	SIGM	GEN	WDC	LCE	DMIC	AMH	TDM	ELXS
940128	1137.81	1511.95	CAVR	SIGM	GEN	LCE	WDC	DMIC	AMH	TDM	CSIM	ELXS
940131	1143.95	1534.56	CAVR	SIGM	LCE	GEN	WDC	DMIC	AMH	CSIM	TDM	ELXS
940201	1141.48	1510.24	CAVR	SIGM	LCE	GEN	WDC	DMIC	AMH	CSIM	TDM	ELXS
940202	1145.57	1525.60	CAVR	SIGM	LCE	GEN	WDC	DMIC	AMH	CSIM	TDM	FRAM
940203	1145.00	1522.85	CAVR	SIGM	GEN	WDC	DMIC	AMH	CSIM	TDM	ELXS	TWN
940204	1115.77	1516.49	CAVR	SIGM	GEN	WDC	AMH	DMIC	CSIM	TDM	ELXS	TWN
940207	1114.70	1516.49	CAVR	SIGM	GEN	WDC	AMH	DMIC	CSIM	ELXS	TWN	ASTA
940208	1126.38	1486.79	CAVR	SIGM	WDC	GEN	AMH	DMIC	CSIM	ELXS	TWN	LEVL
940209	1134.22	1491.12	CAVR	SIGM	WDC	GEN	DMIC	AMH	CSIM	ELXS	LEVL	TWN
940210	1127.85	1455.55	CAVR	SIGM	DMIC	WDC	GEN	AMH	CSIM	ELXS	LEVL	TWN
940211	1129.03	1455.55	CAVR	SIGM	DMIC	WDC	GEN	AMH	CSIM	LEVL	ELXS	TWN
940214	1129.35	1476.48	CAVR	SIGM	DMIC	GEN	WDC	AMH	CSIM	LEVL	ELXS	ASTA
940215	1130.49	1479.80	CAVR	SIGM	DMIC	GEN	WDC	AMH	CSIM	LEVL	ELXS	TWN
940216	1136.71	1490.61	CAVR	SIGM	DMIC	WDC	GEN	AMH	LEVL	CSIM	ELXS	TWN
940217	1131.89	1466.66	CAVR	SIGM	GEN	WDC	DMIC	AMH	LEVL	CSIM	ELXS	ZCAD
940218	1130.96	1471.44	CAVR	SIGM	GEN	WDC	DMIC	AMH	LEVL	CSIM	ELXS	ZCAD
940222	1134.15	1468.97	CAVR	SIGM	WDC	GEN	DMIC	LEVL	AMH	SPCL	CSIM	ELXS
940223	1134.53	1474.53	CAVR	SIGM	SPCL	WDC	DMIC	LEVL	AMH	CSIM	ZCAD	ELXS
940224	1120.92	1426.33	CAVR	SPCL	SIGM	WDC	DMIC	LEVL	AMH	CSIM	ZCAD	ELXS
940225	1123.56	1425.94	CAVR	SPCL	SIGM	WDC	DMIC	LEVL	CSIM	AMH	ZCAD	ELXS
940228	1125.82	1458.57	CAVR	SPCL	SIGM	WDC	LEVL	DMIC	CSIM	AMH	ZCAD	ELXS
940301	1126.60	1462.60	CAVR	SPCL	SIGM	WDC	LEVL	DMIC	CSIM	AMH	ELXS	ZCAD
940302	1125.55	1453.39	CAVR	SPCL	SIGM	WDC	LEVL	DMIC	CSIM	AMH	ZCAD	ELXS
940303	1126.50	1448.38	CAVR	SPCL	SIGM	WDC	DMIC	LEVL	CSIM	AMH	ASTA	ZCAD
940304	1133.35	1458.26	CAVR	SPCL	SIGM	WDC	DMIC	LEVL	CSIM	AMH	ASTA	VLSI
940307	1139.20	1449.78	CAVR	SPCL	SIGM	WDC	DMIC	CSIM	AMH	VLSI	ASTA	ELXS
940308	1136.95	1407.54	CAVR	SPCL	WDC	DMIC	CSIM	AMH	VLSI	ASTA	ELXS	TWN
940309	1143.20	1444.72	CAVR	SPCL	WDC	DMIC	CSIM	AMH	VLSI	ASTA	ELXS	TWN
940310	1140.78	1444.72	CAVR	SPCL	WDC	DMIC	CSIM	AMH	VLSI	ASTA	ELXS	TWN
940311	1141.25	1457.25	CAVR	SPCL	WDC	DMIC	AMH	CSIM	VLSI	ASTA	ELXS	TWN
940314	1141.27	1457.25	CAVR	SPCL	WDC	DMIC	AMH	CSIM	VLSI	ASTA	LCE	ELXS
940315	1142.07	1454.31	CAVR	SPCL	WDC	DMIC	AMH	CSIM	VLSI	ASTA	LCE	ELXS
940316	1156.72	1505.59	CAVR	SPCL	WDC	CSIM	AMH	VLSI	LCE	ASTA	ELXS	BBN
940317	1159.45	1502.60	CAVR	SPCL	WDC	CSIM	AMH	LCE	VLSI	ASTA	ELXS	BBN
940318	1165.15	1525.27	CAVR	SPCL	WDC	LCE	CSIM	AMH	VLSI	ASTA	ELXS	BBN
940321	1158.90	1503.14	CAVR	SPCL	WDC	LCE	CSIM	AMH	VLSI	ASTA	ELXS	BBN
940322	1159.92	1510.78	CAVR	SPCL	WDC	LCE	CSIM	AMH	VLSI	ASTA	ELXS	BBN
940323	1164.61	1532.34	CAVR	SPCL	WDC	LCE	CSIM	AMH	VLSI	ASTA	ELXS	BBN
940324	1149.91	1488.42	CAVR	SPCL	LCE	WDC	CSIM	VLSI	AMH	ELXS	ASTA	BBN
940325	1139.56	1446.91	CAVR	SPCL	LCE	WDC	CSIM	VLSI	AMH	ELXS	ASTA	BBN
940328	1127.43	1472.48	CAVR	SPCL	WDC	CSIM	VLSI	AMH	ELXS	ASTA	BBN	PTON
940329	1103.47	1434.48	CAVR	SPCL	WDC	CSIM	VLSI	AMH	ELXS	ASTA	BBN	PTON
940330	1080.82	1380.70	CAVR	SPCL	CSIM	VLSI	AMH	ELXS	ASTA	BBN	AMER	INTS
940331	1080.65	1381.09	CAVR	SPCL	CSIM	VLSI	AMH	ELXS	ASTA	BBN	AMER	TLAB
940404	1075.32	1356.80	CAVR	SPCL	CSIM	VLSI	AMH	ELXS	ASTA	BBN	AMER	TLAB
940405	1098.58	1388.51	CAVR	SPCL	CSIM	VLSI	AMH	ELXS	ASTA	BBN	AMER	MU
940406	1097.83	1366.64	CAVR	SPCL	CSIM	VLSI	AMH	ASTA	ELXS	BBN	AMER	MU
940407	1108.09	1410.03	CAVR	SPCL	CSIM	VLSI	AMH	ASTA	ELXS	BBN	AMER	MU
940408	1098.67	1371.27	CAVR	SPCL	CSIM	VLSI	AMH	ASTA	ELXS	BBN	AMER	MU
940411	1098.85	1364.95	CAVR	SPCL	CSIM	VLSI	AMH	ASTA	ELXS	BBN	AMER	LEVL
940412	1085.72	1323.12	SPCL	CAVR	CSIM	VLSI	AMH	ASTA	ELXS	BBN	AMER	LEVL
940413	1071.81	1285.71	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	ELXS	BBN	LEVL	MU
940414	1073.45	1273.04	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	ELXS	LEVL	TLAB	MU
940415	1073.59	1272.55	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	ELXS	LEVL	TLAB	MU
940418	1060.84	1262.77	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	ELXS	LEVL	TLAB	LCE
940419	1045.75	1235.08	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	LEVL	LCE	MU	TLAB
940420	1031.93	1201.84	SPCL	CAVR	VLSI	CSIM	AMH	ASTA	LCE	INTS	MU	TLAB
940421	1050.99	1255.18	SPCL	CAVR	VLSI	AMH	ASTA	LCE	TLAB	MU	INTS	SDSK
940422	1054.15	1291.22	SPCL	CAVR	VLSI	AMH	LCE	ASTA	TLAB	MU	SDSK	LOTS
940423	1059.10	1298.78	SPCL	CAVR	VLSI	LCE	AMH	ASTA	TLAB	MU	SDSK	LOTS
940425	1075.39	1358.55	SPCL	CAVR	VLSI	LCE	AMH	ASTA	TLAB	MU	SDSK	LOTS
940426	1081.41	1369.58	SPCL	CAVR	VLSI	LCE	AMH	ASTA	TLAB	MU	SDSK	LOTS
940428	1080.24	1361.90	SPCL	CAVR	LCE	VLSI	AMH	ASTA	TLAB	MU	SDSK	LOTS
940429	1085.98	1378.37	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940502	1094.58	1394.10	SPCL	CAVR	LCE	VLSI	AMH	ASTA	TLAB	SDSK	MU	LOTS
940503	1092.08	1397.36	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940504	1090.89	1378.78	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940505	1090.79	1386.02	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940506	1087.39	1377.25	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940509	1074.77	1362.17	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940510	1072.62	1347.95	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940511	1058.50	1320.38	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940512	1061.20	1327.68	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940513	1060.52	1323.01	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940516	1053.27	1304.17	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940517	1055.84	1272.79	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940518	1072.36	1310.36	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940519	1082.59	1324.87	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940520	1083.25	1334.33	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940523	1081.19	1324.94	SPCL	CAVR	LCE	VLSI	AMH	ASTA	SDSK	MU	TLAB	LOTS
940524	1088.47	1339.71	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	TLAB	LOTS	LEVL
940525	1090.51	1342.48	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	TLAB	LOTS	CREAF
940526	1089.35	1332.15	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	TLAB	LOTS	LEVL
940527	1089.64	1331.82	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	TLAB	LOTS	LEVL
940531	1090.90	1342.98	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	TLAB	LEVL	LOTS
940601	1094.76	1344.61	SPCL	CAVR	LCE	VLSI	AMH	SDSK	MU	LEVL	TLAB	LOTS
940602	1095.99	1342.74	SPCL	CAVR	LCE	VLSI	AMH	MU	SDSK	LEVL	TLAB	LOTS
940603	1097.97	1306.54	SPCL	CAVR	LCE	VLSI	AMH	MU	LEVL	TLAB	CREAF	LOTS
940606	1097.39	1297.66	SPCL	CAVR	LCE	VLSI	AMH	MU	LEVL	TLAB	LOTS	CREAF
940607	1090.79	1282.92	SPCL	CAVR	LCE	VLSI	AMH	MU	LEVL	TLAB	CREAF	LOTS
940608	1087.34	1279.63	SPCL	CAVR	LCE	VLSI	AMH	MU	LEVL	CREAF	LOTS	CNR
940609	1077.01	1272.78	SPCL	CAVR	LCE	VLSI	AMH	MU	LEVL	CREAF	LOTS	CNR
940610	1079.44	1269.26	SPCL	CAVR	LCE	VLSI	AMH	LEVL	MU	CREAF	LOTS	CNR
940613	1084.51	1277.95	SPCL	CAVR	LCE	VLSI	AMH	LEVL	CREAF	MU	LOTS	CNR
940614	1090.23	1285.12	SPCL	CAVR	LCE	VLSI	AMH	LEVL	CREAF	MU	LOTS	CNR
940615	1087.65	1286.63	SPCL	CAVR	LCE	VLSI	AMH	LEVL	CREAF	MU	LOTS	CNR
940616	1087.92	1272.60	SPCL	CAVR	LCE	VLSI	AMH	LEVL	CREAF	MU	LOTS	WWTK
940617	1077.71	1261.17	SPCL	CAVR	LCE	VLSI	LEVL	AMH	CREAF	MU	LOTS	WWTK
940620	1065.01	1257.91	SPCL	CAVR	LCE	VLSI	LEVL	AMH	CREAF	MU	LOTS	WWTK
940621	1050.41	1192.96	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	CREAF	MU	WWTK
940622	1057.12	1210.03	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	CREAF	MU	WWTK
940623	1042.54	1171.05	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	MU	CREAF	WWTK
940624	1031.23	1177.29	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	MU	CREAF	WWTK
940627	1045.44	1189.00	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	MU	WWTK	CREAF
940628	1045.51	1184.05	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	WWTK	MU	CREAF
940629	1046.89	1168.59	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	AMH	WWTK	CREAF	MU
940630	1045.32	1196.37	SPCL	CAVR	LCE	VLSI	LOTS	LEVL	WWTK	CREAF	AMH	MU
940701	1045.88	1237.82	CAVR	LCE	VLSI	LOTS	LEVL	WWTK	CREAF	AMH	MU	SPCL
940705	1043.49	1213.29	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940706	1045.52	1223.22	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940707	1054.75	1241.58	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940708	1056.62	1244.13	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940711	1057.03	1257.59	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940712	1062.48	1265.99	CAVR	LCE	VLSI	WWTK	LEVL	LOTS	CREAF	AMH	MU	INTS
940713	1075.05	1301.55	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	MU	INTS
940714	1080.47	1311.00	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	MU	INTS
940715	1077.56	1294.71	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	MU	INTS
940718	1076.78	1285.76	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	MU	INTS
940719	1074.82	1288.24	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	MU	INTS
940720	1065.63	1271.69	CAVR	LCE	WWTK	VLSI	LOTS	LEVL	CREAF	AMH	MU	SPCL
940721	1067.90	1263.36	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	SPCL	CREAF	AMH	MU
940722	1072.09	1257.68	CAVR	LCE	WWTK	VLSI	LEVL	LOTS	SPCL	CREAF	AMH	MU
940725	1071.63	1258.33	CAVR	LCE	WWTK	VLSI	SPCL	LEVL	LOTS	CREAF	AMH	MU
940726	1070.04	1257.27	CAVR	LCE	WWTK	SPCL	VLSI	LEVL	LOTS	CREAF	AMH	MU
940727	1068.35	1253.49	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	LOTS	AMH	CREAF	INTS
940728	1067.75	1260.69	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	LOTS	CREAF	AMH	INTS
940729	1080.17	1291.02	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	CREAF	LOTS	AMH	INTS
940801	1086.06	1304.95	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	LOTS	CREAF	BBTK	AMH
940802	1086.19	1287.74	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	LOTS	CREAF	BBTK	INTS
940803	1084.71	1279.05	CAVR	LCE	SPCL	WWTK	VLSI	LEVL	CREAF	LOTS	BBTK	INTS
940804	1078.68	1272.24	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	LOTS	BBTK	INTS
940805	1075.68	1249.02	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	BBTK	LOTS	INTS
940808	1081.46	1245.17	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	BBTK	LOTS	INTS
940809	1085.70	1266.09	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	BBTK	LOTS	INTS
940810	1095.29	1296.80	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	LOTS	BBTK	INTS
940811	1096.04	1309.91	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	LOTS	BBTK	INTS
940812	1103.86	1332.06	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	LOTS	BBTK	INTS
940815	1104.82	1330.26	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	LOTS	BBTK	INTS
940816	1113.64	1332.68	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	BBTK	LOTS	INTS
940817	1119.51	1347.44	CAVR	SPCL	LCE	WWTK	VLSI	CREAF	LEVL	BBTK	LOTS	INTS
940818	1116.27	1322.28	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	LOTS	BBTK	INTS
940819	1120.02	1310.56	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	LOTS	BBTK	INTS
940822	1118.85	1321.11	CAVR	SPCL	LCE	WWTK	VLSI	LEVL	CREAF	LOTS	BBTK	INTS
940823	1124.28	1330.20	CAVR	SPCL	LCE	WWTK	KMT	VLSI	LEVL	CREAF	LOTS	BBTK
