930830	1000.00	1000.00
931108	1059.73	1093.94	SIGM	ATC	HEI	PCL	DMIC	RBK	TAN	C	ASTA	SVM
931109	1062.62	1081.09	SIGM	ATC	HEI	DMIC	PCL	TAN	RBK	C	SVM	ASTA
931110	1075.78	1090.25	SIGM	DMIC	HEI	ATC	PCL	TAN	RBK	C	ASTA	SVM
931111	1081.98	1101.62	SIGM	DMIC	ATC	HEI	PCL	WDC	RBK	TAN	ASTA	LOTS
931112	1086.64	1119.77	SIGM	DMIC	WDC	ATC	ASTA	PCL	RBK	TAN	HEI	C
931115	1083.58	1115.34	SIGM	DMIC	ATC	PCL	WDC	ASTA	RBK	TAN	HEI	C
931116	1080.43	1107.20	SIGM	DMIC	PCL	ASTA	TAN	WDC	HEI	RBK	ATC	C
931117	1071.75	1093.86	SIGM	DMIC	PCL	WDC	TAN	HEI	RBK	ASTA	C	LOTS
931118	1067.70	1086.00	SIGM	DMIC	HEI	WDC	TAN	ASTA	C	RBK	PCL	F
931119	1064.32	1080.36	SIGM	DMIC	WDC	HEI	TAN	RBK	ASTA	C	ACN	PCL
931122	1047.51	1032.16	SIGM	HEI	DMIC	ASTA	TAN	WDC	SVM	RBK	C	GNE
931123	1055.99	1040.74	SIGM	HEI	DMIC	TAN	WDC	ASTA	SVM	ATC	RBK	GNE
931124	1064.49	1053.49	SIGM	DMIC	HEI	ASTA	TAN	WDC	RBK	C	SVM	F
931126	1066.76	1060.64	SIGM	DMIC	ASTA	HEI	TAN	WDC	SVM	C	RBK	PCL
931129	1065.66	1066.96	SIGM	WDC	DMIC	ASTA	HEI	TAN	RBK	PCL	SVM	CPQ
931130	1067.87	1048.39	SIGM	ASTA	HEI	WDC	DMIC	TAN	RBK	CPQ	MENT	ATC
931201	1075.88	1048.26	SIGM	ASTA	WDC	HEI	DMIC	TAN	MENT	CPQ	RBK	C
931202	1076.66	1046.08	SIGM	ASTA	WDC	HEI	TAN	DMIC	MENT	CPQ	RBK	F
931203	1079.53	1051.82	SIGM	ASTA	HEI	MENT	WDC	DMIC	TAN	CPQ	LOTS	RBK
931206	1078.62	1032.63	SIGM	DMIC	HEI	MENT	TAN	RBK	WDC	ASTA	CPQ	C
931208	1078.25	1030.30	ABX	SIGM	DMIC	HEI	TAN	PCL	MENT	LOTS	WDC	CPQ
931209	1071.95	1020.96	SIGM	DMIC	TAN	HEI	LOTS	MENT	WDC	PCL	F	CPQ
931210	1069.23	1006.35	SIGM	DMIC	HEI	WDC	TAN	LOTS	F	C	USG	MENT
931213	1072.31	1019.21	SIGM	DMIC	WDC	LOTS	USG	HEI	C	F	TAN	MENT
